Schweizer Nährwertdatenbank – Markenprodukte V6.5 (27.06.2023);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
501;4000;1000991;Mineralwasser Contrex;;Alkoholfreie Getränke/Mineralwasser;1;pro 100 ml;0;Automatisierte Berechnung;;0;Automatisierte Berechnung;;0;Schätzung;1662;0;Schätzung;1662;0;Schätzung;1662;0;Schätzung;1662;0;Schätzung;1662;0;Schätzung;1662;0;Schätzung;1662;0;Schätzung;1662;0;Schätzung;1662;0;Schätzung;1662;k.A.;;;0;Schätzung;1662;99.8;Schätzung;3201;0;Automatisierte Berechnung;;0;Automatisierte Berechnung;;0;Schätzung;1662;0;Automatisierte Berechnung;;0;Schätzung;1662;0;Schätzung;1662;0;Schätzung;1662;0;Schätzung;1662;0;Schätzung;1662;0;Schätzung;1662;0;Schätzung;1662;0;Schätzung;1662;0;Schätzung;1662;0;Schätzung;1662;0;Schätzung;1662;0.3;-;3206;0.9;-;3206;1.1;-;3206;47;-;3206;7.5;-;3206;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;Ja
1172;4622;;Mineralwasser Cristallo (Lostorf);;Alkoholfreie Getränke/Mineralwasser;1;pro 100 ml;0;Automatisierte Berechnung;;0;Automatisierte Berechnung;;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;k.A.;;;0;Schätzung;1003;99.9;Schätzung;1662;0;Automatisierte Berechnung;;0;Automatisierte Berechnung;;0;Schätzung;1003;0;Automatisierte Berechnung;;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0.3;-;1013;0.4;-;1013;0.3;-;1013;22;-;1013;6.5;-;1013;k.A.;;;k.A.;;;<1;-;3206;k.A.;;;k.A.;;;Ja
1044;4237;;Mineralwasser Elmer;;Alkoholfreie Getränke/Mineralwasser;1;pro 100 ml;0;Automatisierte Berechnung;;0;Automatisierte Berechnung;;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;k.A.;;;0;Schätzung;1003;100;Schätzung;1662;0;Automatisierte Berechnung;;0;Automatisierte Berechnung;;0;Schätzung;1003;0;Automatisierte Berechnung;;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0.1;-;1680;0.3;-;2289;0;-;1680;9.9;-;2289;0.8;-;2289;k.A.;;;k.A.;;;<1;-;1680;k.A.;;;k.A.;;;Nein
48;4659;821020;Mineralwasser Eptinger;;Alkoholfreie Getränke/Mineralwasser;1;pro 100 ml;0;Automatisierte Berechnung;;0;Automatisierte Berechnung;;0;Schätzung;51;0;Schätzung;51;0;Schätzung;51;0;Schätzung;51;0;Schätzung;51;0;Schätzung;51;0;Schätzung;51;0;Schätzung;51;0;Schätzung;51;0;Schätzung;51;k.A.;;;0;Schätzung;51;99.8;Schätzung;1662;0;Automatisierte Berechnung;;0;Automatisierte Berechnung;;0;Schätzung;51;0;Automatisierte Berechnung;;0;Schätzung;51;0;Schätzung;51;0;Schätzung;51;0;Schätzung;51;0;Schätzung;51;0;Schätzung;51;0;Schätzung;51;0;Schätzung;51;0;Schätzung;51;0;Schätzung;51;0;Schätzung;51;0.2;-;2289;0.3;-;2289;0.4;-;2289;48;-;3206;11;-;2289;k.A.;;;k.A.;;;<1;-;1680;k.A.;;;k.A.;;;Ja
521;4635;1001029;Mineralwasser Evian (Cachat);;Alkoholfreie Getränke/Mineralwasser;1;pro 100 ml;0;Automatisierte Berechnung;;0;Automatisierte Berechnung;;0;-;22;0;-;22;0;-;22;0;-;22;0;Schätzung;51;0;-;22;0;-;22;0;Schätzung;51;0;-;22;0;-;22;k.A.;;;0;Schätzung;51;100;Schätzung;3201;0;Automatisierte Berechnung;;0;Automatisierte Berechnung;;0;Schätzung;51;0;Automatisierte Berechnung;;0;Schätzung;51;0;-;22;0;-;22;0;-;22;0;-;22;0;-;22;0;-;22;0;-;22;0;-;22;0;-;22;0;-;22;0.2;-;3206;0.8;-;3206;1;-;3206;8;-;3206;2.8;-;3206;k.A.;;;k.A.;;;<0.5;-;3206;k.A.;;;k.A.;;;Ja
522;4003;1001030;Mineralwasser Henniez;;Alkoholfreie Getränke/Mineralwasser;1;pro 100 ml;0;Automatisierte Berechnung;;0;Automatisierte Berechnung;;0;-;22;0;-;22;0;-;22;0;-;22;0;-;51;0;-;22;0;-;22;0;-;51;0;-;22;0;-;22;k.A.;;;0;-;51;99.9;-;1662;0;Automatisierte Berechnung;;0;Automatisierte Berechnung;;0;-;51;0;Automatisierte Berechnung;;0;-;51;0;-;22;0;-;22;0;-;22;0;-;22;0;-;22;0;-;22;0;-;22;0;-;22;0;-;22;0;-;22;0.1;-;1680;0.7;-;1680;0.8;-;1680;10;-;1680;2;-;1680;k.A.;;;k.A.;;;1;-;1680;k.A.;;;k.A.;;;Nein
1173;4624;;Mineralwasser Knutwiler;;Alkoholfreie Getränke/Mineralwasser;1;pro 100 ml;0;Automatisierte Berechnung;;0;Automatisierte Berechnung;;0;-;1003;0;-;1003;0;-;1003;0;-;1003;0;-;1003;0;-;1003;0;-;1003;0;-;1003;0;-;1003;0;-;1003;k.A.;;;0;-;1003;100;-;1662;0;Automatisierte Berechnung;;0;Automatisierte Berechnung;;0;-;1003;0;Automatisierte Berechnung;;0;-;1003;0;-;1003;0;-;1003;0;-;1003;0;-;1003;0;-;1003;0;-;1003;0;-;1003;0;-;1003;0;-;1003;0;-;1003;0.1;-;1680;0.5;-;1680;0.6;-;1680;8.9;-;1680;2.4;-;1680;k.A.;;;k.A.;;;1;-;1680;k.A.;;;k.A.;;;Nein
523;4636;1001032;Mineralwasser Passugger (Theophilquelle);;Alkoholfreie Getränke/Mineralwasser;1;pro 100 ml;0;Automatisierte Berechnung;;0;Automatisierte Berechnung;;0;-;22;0;-;22;0;-;22;0;-;22;0;Schätzung;51;0;-;22;0;-;22;0;Schätzung;51;0;-;22;0;-;22;k.A.;;;0;Schätzung;51;99.9;Schätzung;1662;0;Automatisierte Berechnung;;0;Automatisierte Berechnung;;0;Schätzung;51;0;Automatisierte Berechnung;;0;Schätzung;51;0;-;22;0;-;22;0;-;22;0;-;22;0;-;22;0;-;22;0;-;22;0;-;22;0;-;22;0;-;22;0.2;-;3206;4.3;-;3206;2.2;-;3206;23;-;3206;2.4;-;3206;k.A.;;;k.A.;;;<1;-;3206;k.A.;;;k.A.;;;Ja
524;4046;1001033;Mineralwasser Perrier;;Alkoholfreie Getränke/Mineralwasser;1;pro 100 ml;0;Automatisierte Berechnung;;0;Automatisierte Berechnung;;0;Schätzung;1662;0;Schätzung;1662;0;Schätzung;1662;0;Schätzung;1662;0;Schätzung;1662;0;Schätzung;1662;0;Schätzung;1662;0;Schätzung;1662;0;Schätzung;1662;0;Schätzung;1662;k.A.;;;0;Schätzung;1662;100;Schätzung;3201;0;Automatisierte Berechnung;;0;Automatisierte Berechnung;;0;Schätzung;1662;0;Automatisierte Berechnung;;0;Schätzung;1662;0;Schätzung;1662;0;Schätzung;1662;0;Schätzung;1662;0;Schätzung;1662;0;Schätzung;1662;0;Schätzung;1662;0;Schätzung;1662;0;Schätzung;1662;0;Schätzung;1662;0;Schätzung;1662;0;-;3206;1;-;3206;2;-;3206;16;-;3206;0.4;-;3206;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;Ja
537;4044;1001057;Mineralwasser Rhäzünser;;Alkoholfreie Getränke/Mineralwasser;1;pro 100 ml;0;Automatisierte Berechnung;;0;Automatisierte Berechnung;;0;-;22;0;-;22;0;-;22;0;-;22;0;Schätzung;51;0;-;22;0;-;22;0;Schätzung;51;0;-;22;0;-;22;k.A.;;;0;Schätzung;51;99.8;Schätzung;1662;0;Automatisierte Berechnung;;0;Automatisierte Berechnung;;0;Schätzung;51;0;Automatisierte Berechnung;;0;Schätzung;51;0;-;22;0;-;22;0;-;22;0;-;22;0;-;22;0;-;22;0;-;22;0;-;22;0;-;22;0;-;22;0.7;-;3206;16;-;2289;2;-;3206;22;-;3206;4.9;-;3206;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;Ja
525;4004;1001035;Mineralwasser San Pellegrino;;Alkoholfreie Getränke/Mineralwasser;1;pro 100 ml;0;Automatisierte Berechnung;;0;Automatisierte Berechnung;;0;-;22;0;-;22;0;-;22;0;-;22;0;Schätzung;51;0;-;22;0;-;22;0;Schätzung;51;0;-;22;0;-;22;k.A.;;;0;Schätzung;51;99.9;Schätzung;1662;0;Automatisierte Berechnung;;0;Automatisierte Berechnung;;0;Schätzung;51;0;Automatisierte Berechnung;;0;Schätzung;51;0;-;22;0;-;22;0;-;22;0;-;22;0;-;22;0;-;22;0;-;22;0;-;22;0;-;22;0;-;22;0.2;-;3206;3.1;-;3206;4.9;-;3206;17;-;3206;5;-;3206;k.A.;;;k.A.;;;<1;-;3206;k.A.;;;k.A.;;;Ja
1095;3612;;Mineralwasser Valais (Montis);;Alkoholfreie Getränke/Mineralwasser;1;pro 100 ml;0;Automatisierte Berechnung;;0;Automatisierte Berechnung;;0;-;1003;0;-;1003;0;-;1003;0;-;1003;0;-;1003;0;-;1025;0;-;1003;0;-;1003;0;-;1003;0;-;1003;k.A.;;;0;-;1003;100;-;1662;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;0.3;-;1680;0.7;-;1680;1.2;-;1680;9;-;1680;2.2;-;1680;k.A.;;;k.A.;;;2;-;1680;k.A.;;;0.1;-;1025;Nein
45;3581;821008;Mineralwasser Valser Classic/Naturelle (St. Petersquelle);;Alkoholfreie Getränke/Mineralwasser;1;pro 100 ml;0;Automatisierte Berechnung;;0;Automatisierte Berechnung;;0;-;51;0;-;51;0;-;51;0;-;51;0;-;51;0;-;51;0;-;51;0;-;51;0;-;51;0;-;51;k.A.;;;0;-;51;99.8;-;1662;0;Automatisierte Berechnung;;0;Automatisierte Berechnung;;0;-;51;0;Automatisierte Berechnung;;0;-;51;0;-;51;0;-;51;0;-;51;0;-;51;0;-;51;0;-;51;0;-;51;0;-;51;0;-;51;0;-;51;0.1;-;"1017;1680";0.9;-;1680;0.2;-;1680;44;-;1680;5.5;-;1680;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;Nein
1047;3763;;Mineralwasser Valser Silence (St. Paulsquelle);;Alkoholfreie Getränke/Mineralwasser;1;pro 100 ml;0;Automatisierte Berechnung;;0;Automatisierte Berechnung;;0;-;1003;0;-;1003;0;-;1003;0;-;1003;0;-;1003;0;-;1003;0;-;1003;0;-;1003;0;-;1003;0;-;1003;k.A.;;;0;-;1003;100;-;1662;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;0;-;1680;0;-;1680;0.1;-;1680;5.4;-;1680;0.2;-;1680;k.A.;;;k.A.;;;0;-;1333;k.A.;;;k.A.;;;Nein
535;4043;1001052;Mineralwasser Vittel;;Alkoholfreie Getränke/Mineralwasser;1;pro 100 ml;0;Automatisierte Berechnung;;0;Automatisierte Berechnung;;0;Schätzung;1662;0;Schätzung;1662;0;Schätzung;1662;0;Schätzung;1662;0;Schätzung;1662;0;Schätzung;1662;0;Schätzung;1662;0;Schätzung;1662;0;Schätzung;1662;0;Schätzung;1662;k.A.;;;0;Schätzung;1662;99.9;Schätzung;3201;0;Automatisierte Berechnung;;0;Automatisierte Berechnung;;0;Schätzung;1662;0;Automatisierte Berechnung;;0;Schätzung;1662;0;Schätzung;1662;0;Schätzung;1662;0;Schätzung;1662;0;Schätzung;1662;0;Schätzung;1662;0;Schätzung;1662;0;Schätzung;1662;0;Schätzung;1662;0;Schätzung;1662;0;Schätzung;1662;0.5;-;3206;0.7;-;3206;0.3;-;3206;9.1;-;3206;1.9;-;3206;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;Ja
550;3939;1001070;Mineralwasser Volvic;;Alkoholfreie Getränke/Mineralwasser;1;pro 100 ml;0;Automatisierte Berechnung;;0;Automatisierte Berechnung;;0;-;22;0;-;22;0;-;22;0;-;22;0;Schätzung;51;0;-;22;0;-;22;0;Schätzung;51;0;-;22;0;-;22;k.A.;;;0;Schätzung;51;100;Schätzung;1662;0;Automatisierte Berechnung;;0;Automatisierte Berechnung;;0;Schätzung;51;0;Automatisierte Berechnung;;0;Schätzung;51;0;-;22;0;-;22;0;-;22;0;-;22;0;-;22;0;-;22;0;-;22;0;-;22;0;-;22;0;-;22;0.6;-;3206;1.2;-;3206;1.7;-;3206;1.2;-;3206;0.8;-;3206;Sp.;-;22;k.A.;;;<0.5;-;3206;k.A.;;;k.A.;;;Ja
548;3940;1001067;Mineralwasser Zurzacher;;Alkoholfreie Getränke/Mineralwasser;1;pro 100 ml;0;Automatisierte Berechnung;;0;Automatisierte Berechnung;;0;-;22;0;-;22;0;-;22;0;-;22;0;-;51;0;-;22;0;-;22;0;-;51;0;-;22;0;-;22;k.A.;;;0;-;51;99.9;-;1662;0;Automatisierte Berechnung;;0;Automatisierte Berechnung;;0;-;51;0;Automatisierte Berechnung;;0;-;51;0;-;22;0;-;22;0;-;22;0;-;22;0;-;22;0;-;22;0;-;22;0;-;22;0;-;22;0;-;22;0.8;-;1680;29;-;1680;13;-;1680;1.6;-;1680;0;-;1680;k.A.;;;k.A.;;;3;-;1680;k.A.;;;k.A.;;;Nein
1263;;;Pastis 51 de Marseille (45 vol%);;Alkoholhaltige Getränke/Sonstige alkoholische Getränke;0.947;pro 100 ml;1060;Automatisierte Berechnung;;257;Automatisierte Berechnung;;0;-;1129;k.A.;;;k.A.;;;k.A.;;;0;-;1129;2;-;1129;2;-;1070;k.A.;;;0;-;1129;0;-;1129;k.A.;;;35.5;-;1070;62.5;Automatisierte Berechnung;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;Nein
1265;;;Suze (20 vol%);;Alkoholhaltige Getränke/Sonstige alkoholische Getränke;1.036;pro 100 ml;730;Automatisierte Berechnung;;175;Automatisierte Berechnung;;0;-;1073;k.A.;;;k.A.;;;k.A.;;;0;-;1129;16;-;1129;16;-;1073;k.A.;;;0;-;1129;0;-;1073;k.A.;;;15.8;-;1073;68.2;Automatisierte Berechnung;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;Nein
13421;;;Vanille Zucker (Durchschnitt von Markenprodukten);;Süssigkeiten/Zucker und Süssstoffe;;pro 100g essbarer Anteil;1660;Automatisierte Berechnung;;391;Automatisierte Berechnung;;0.2;-;1682;0;-;"1662;1682";k.A.;;;k.A.;;;k.A.;;;96.7;-;1682;96.7;-;"1662;1682";k.A.;;;1.3;-;1682;0.2;-;1682;0;-;1682;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;Nein
13424;;;Worcester Sauce (Durchschnitt von Markenprodukten);;Verschiedenes/Saucen;1;pro 100 ml;408;Automatisierte Berechnung;;96;Automatisierte Berechnung;;0.8;-;1682;0.4;-;1682;k.A.;;;k.A.;;;k.A.;;;21.5;-;1682;19;-;1682;k.A.;;;k.A.;;;0.8;-;1682;2.9;-;1682;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;Nein